URL,PART_NO,ADAPTABLE_FOR,ORIG_PART_NO
https://www.industriehof.com/en/catalogue/c13/c1126/c2573/a652-D121L/,652-d121l,,
https://www.industriehof.com/en/catalogue/c4/c62/c1987/c2015/a101.86013.1/,101.86013.1,Kverneland,KW11099061
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1745/a14-I-116/,14-i-116,,
https://www.industriehof.com/en/catalogue/c13/c186/c1110/c1113/a652-D702A/,652-d702a,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1745/a14-I-127/,14-i-127,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-D702A/,652-d702a,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1745/a14-I-96/,14-i-96,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-D702B/,652-d702b,,
https://www.industriehof.com/en/catalogue/c13/c196/c1017/a14-I-85/,14-i-85,,
https://www.industriehof.com/en/catalogue/c13/c186/c1111/c1112/a652-D702B/,652-d702b,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1745/a14-I-76/,14-i-76,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1745/a14-I-86/,14-i-86,,
https://www.industriehof.com/en/catalogue/c13/c2359/a652-D702A/,652-d702a,,
https://www.industriehof.com/en/catalogue/c13/c186/c1110/c1113/a652-D702B/,652-d702b,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-D703A/,652-d703a,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1746/a14-II-106/,14-ii-106,,
https://www.industriehof.com/en/catalogue/c13/c186/c1110/c1113/a652-D721/,652-d721,,
https://www.industriehof.com/en/catalogue/c13/c189/c917/c1743/a14-II-115/,14-ii-115,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-D721/,652-d721,,
https://www.industriehof.com/en/catalogue/c13/c196/c1017/a14-II-85/,14-ii-85,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1746/a14-II-136/,14-ii-136,,
https://www.industriehof.com/en/catalogue/c13/c2359/a652-D721/,652-d721,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1746/a14-II-126/,14-ii-126,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1746/a14-II-76/,14-ii-76,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1127/a652-D752/,652-d752,,
https://www.industriehof.com/en/catalogue/c13/c2359/a652-D703A/,652-d703a,,
https://www.industriehof.com/en/catalogue/c13/c189/c917/c1743/a14-II-85/,14-ii-85,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1746/a14-II-116/,14-ii-116,,
https://www.industriehof.com/en/catalogue/c13/c187/c1677/c1679/a652-D922/,652-d922,,
https://www.industriehof.com/en/catalogue/c4/c63/c1637/c1638/a101.86013.1/,101.86013.1,Kverneland,KW11099061
https://www.industriehof.com/en/catalogue/c13/c2359/a652-D752/,652-d752,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1746/a14-II-86/,14-ii-86,,
https://www.industriehof.com/en/catalogue/c13/c187/c1677/c1678/a652-D931/,652-d931,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1747/a14-III-106/,14-iii-106,,
https://www.industriehof.com/en/catalogue/c13/c187/c1677/c1678/a652-D929/,652-d929,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1746/a14-II-96/,14-ii-96,,
https://www.industriehof.com/en/catalogue/c13/c187/c1677/c1678/a652-D922/,652-d922,,
https://www.industriehof.com/en/catalogue/c13/c187/c1677/c1678/a652-D930/,652-d930,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1747/a14-III-116/,14-iii-116,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1747/a14-III-136/,14-iii-136,,
https://www.industriehof.com/en/catalogue/c13/c187/c1677/c1679/a652-D931/,652-d931,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1747/a14-III-126/,14-iii-126,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c1747/a14-III-96/,14-iii-96,,
https://www.industriehof.com/en/catalogue/c13/c187/c1677/c1678/a652-D934R/,652-d934r,,
https://www.industriehof.com/en/catalogue/c8/c153/c1321/a31-446230/,31-446230,Forges de Niaux,
https://www.industriehof.com/en/catalogue/c5/c136/c4046/a15-1007/,15-1007,Amazone,203618
https://www.industriehof.com/en/catalogue/c13/c189/c924/c2512/a14-O-86/,14-o-86,,
https://www.industriehof.com/en/catalogue/c13/c189/c924/c2512/a14-O-96/,14-o-96,,
https://www.industriehof.com/en/catalogue/c13/c187/c1677/c1678/a652-D933L/,652-d933l,,
https://www.industriehof.com/en/catalogue/c13/c193/c1741/a1402/,1402,,
https://www.industriehof.com/en/catalogue/c3/c12/c490/a63-THY-01/,63-thy-01,"Spragelse-Mica, Thyregod",
https://www.industriehof.com/en/catalogue/c13/c193/c2586/a1408-1/,1408-1,,
https://www.industriehof.com/en/catalogue/c13/c193/c2586/a1408-2/,1408-2,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1717/a652-D945/,652-d945,,
https://www.industriehof.com/en/catalogue/c13/c193/c1741/a1414/,1414,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1717/a652-D944/,652-d944,,
https://www.industriehof.com/en/catalogue/c13/c193/c1741/a1415/,1415,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1717/a652-D946/,652-d946,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1715/a652-D949/,652-d949,,
https://www.industriehof.com/en/catalogue/c4/c133/c1659/c1662/a141501-0/,141501-0,,
https://www.industriehof.com/en/catalogue/c4/c133/c1659/c1662/a141502-0/,141502-0,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1715/a652-D948/,652-d948,,
https://www.industriehof.com/en/catalogue/c13/c1126/c2573/a652-D950/,652-d950,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1718/a652-D948/,652-d948,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1718/a652-D949/,652-d949,,
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c3641/a1235812/,1235812,"Kongskilde, Lemken, Amazone / BBG","71365212350, 3015785, DA635 / DA742"
https://www.industriehof.com/en/catalogue/c13/c1126/c1718/a652-D951/,652-d951,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1715/a652-D951/,652-d951,,
https://www.industriehof.com/en/catalogue/c5/c58/c2439/c4249/a10.951930R/,10.951930r,Lemken,5574995
https://www.industriehof.com/en/catalogue/c3/c106/c540/a63-BRT-21/,63-brt-21,Berti,RO/4049
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c3641/a1285810/,1285810,Kongskilde,300304306
https://www.industriehof.com/en/catalogue/c13/c1126/c1718/a652-D952/,652-d952,,
https://www.industriehof.com/en/catalogue/c12/c182/c3562/c4598/a32.0091/,32.0091,"Lemken, OVLAC","3451002, 64000128"
https://www.industriehof.com/en/catalogue/c13/c1126/c1715/a652-D953/,652-d953,,
https://www.industriehof.com/en/catalogue/c7/c149/c2105/c3953/a70-111/,70-111,"Himel, Marmix, Storti, Gilioli, Italmix","3000471 - 3000655, 1000 0028, 16800065"
https://www.industriehof.com/en/catalogue/c13/c1126/c1715/a652-D952/,652-d952,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1718/a652-D955/,652-d955,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-D956/,652-d956,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1718/a652-D953/,652-d953,,
https://www.industriehof.com/en/catalogue/c4/c133/c1656/a1415081/,1415081,,
https://www.industriehof.com/en/catalogue/c4/c133/c1659/c1662/a141701-0/,141701-0,,
https://www.industriehof.com/en/catalogue/c4/c133/c1659/c1661/a141703-0/,141703-0,,
https://www.industriehof.com/en/catalogue/c13/c2359/a652-D956/,652-d956,,
https://www.industriehof.com/en/catalogue/c13/c1126/c1715/a652-D955/,652-d955,,
https://www.industriehof.com/en/catalogue/c12/c182/c3562/c4598/a32.0054/,32.0054,"Lemken, OVLAC","3364051, 64000180"
https://www.industriehof.com/en/catalogue/c13/c184/c1926/a652-D960/,652-d960,,
https://www.industriehof.com/en/catalogue/c13/c186/c1110/c1113/a652-D961/,652-d961,,
https://www.industriehof.com/en/catalogue/c4/c133/c1659/c1661/a141704-0/,141704-0,,
https://www.industriehof.com/en/catalogue/c13/c186/c1676/c1684/a652-D961/,652-d961,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0018/,37.0018,Rabe,2700.22.02
https://www.industriehof.com/en/catalogue/c4/c133/c803/a1417041/,1417041,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0001/,37.0001,Rabe,2701.12.01
https://www.industriehof.com/en/catalogue/c12/c182/c3562/c4598/a32.0053/,32.0053,"Lemken, OVLAC","3364050, 64000134"
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0017/,37.0017,Rabe,2700.22.01
https://www.industriehof.com/en/catalogue/c13/c2359/a652-E006/,652-e006,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0002/,37.0002,Rabe,2701.12.02
https://www.industriehof.com/en/catalogue/c3/c106/c540/a63-IND-62/,63-ind-62,"Kuhn, Quivogne, Berti, Nobili","JX130770, BAG02506, DC012S, JX130770"
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0029/,37.0029,Rabe,2700.10.01
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-E821/,652-e821,,
https://www.industriehof.com/en/catalogue/c13/c186/c1676/c1684/a652-E821/,652-e821,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0030/,37.0030,Rabe,2700.10.02
https://www.industriehof.com/en/catalogue/c3/c1182/c3541/a63-20120/,63-20120,"Agromec, Agrimaster, Agricom, Mulag, INO","Schraube: 3002392 - Mutter: 1012420, Schraube: 3002392 - Mutter: 1012420, , Schraube: 113106 - Mutter: 100690, Schraube: 026435 - Mutter: 026436"
https://www.industriehof.com/en/catalogue/c7/c149/c2105/c2125/a70-432/,70-432,Kuhn,A5375580 / A5302190 / A5362450
https://www.industriehof.com/en/catalogue/c13/c2359/a652-E821/,652-e821,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0111/,37.0111,Rabe,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0112/,37.0112,Rabe,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-F602/,652-f602,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-D961/,652-d961,,
https://www.industriehof.com/en/catalogue/c3/c1171/c1178/c3640/a63-AGM-506/,63-agm-506,"Agromec, Agrimaster, Orsi, Calderoni","3000553, , 30024293"
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0038/,37.0038,Rabe,
https://www.industriehof.com/en/catalogue/c13/c2359/a652-F602/,652-f602,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0037/,37.0037,Rabe,
https://www.industriehof.com/en/catalogue/c13/c1126/c1127/a652-E006/,652-e006,,
https://www.industriehof.com/en/catalogue/c7/c149/c2110/c2112/a14259338/,14259338,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0059/,37.0059,Rabe,2722.05.01
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-F603/,652-f603,,
https://www.industriehof.com/en/catalogue/c7/c149/c2110/c2112/a14209338/,14209338,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0060/,37.0060,Rabe,2722.05.02
https://www.industriehof.com/en/catalogue/c13/c1680/c1689/a652-GF150/,652-gf150,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0064/,37.0064,Rabe,2701.15.00
https://www.industriehof.com/en/catalogue/c3/c12/c462/a63-NOB-41/,63-nob-41,"Kuhn, Orsi, Nobili","J1781000 / 6060000, 00023000, J1781000 / 6060000"
https://www.industriehof.com/en/catalogue/c13/c2359/a652-F603/,652-f603,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0063/,37.0063,Rabe,2701.14.00
https://www.industriehof.com/en/catalogue/c7/c149/c2110/c2112/a14309338/,14309338,,
https://www.industriehof.com/en/catalogue/c13/c1680/c1682/a652-GF152/,652-gf152,,
https://www.industriehof.com/en/catalogue/c6/c1417/c3431/a98.MFD-02/,98.mfd-02,"Fendt, Dronningborg, Laverda",", 49040200, 313162601"
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0061/,37.0061,Rabe,2708.15.00
https://www.industriehof.com/en/catalogue/c13/c1680/c1682/a652-GF153/,652-gf153,,
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c1687/c4021/a1430ISO10/,1430iso10,"Krone, Kuhn-Huard",
https://www.industriehof.com/en/catalogue/c13/c1680/c1682/a652-GF155/,652-gf155,,
https://www.industriehof.com/en/catalogue/c13/c1680/c1682/a652-GF154/,652-gf154,,
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0062/,37.0062,Rabe,2708.14.00
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c1688/c4016/a1430ISO10/,1430iso10,"Krone, Kuhn-Huard",
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0127/,38.0127,Vogel u. Noot,PR0.001.01
https://www.industriehof.com/en/catalogue/c13/c1680/c1682/a652-GF156/,652-gf156,,
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c2256/c2259/a1430NA/,1430na,Naud,03050205
https://www.industriehof.com/en/catalogue/c12/c182/c2971/c3592/a37.0099/,37.0099,Rabe,2700.30.01
https://www.industriehof.com/en/catalogue/c13/c1680/c1689/a652-GF200/,652-gf200,,
https://www.industriehof.com/en/catalogue/c13/c1680/c1682/a652-GF157/,652-gf157,,
https://www.industriehof.com/en/catalogue/c13/c189/c925/c928/a1431/,1431,,
